date,max_temperature,min_temperature
1997-01-01,25,16
1997-01-02,22,18
1997-01-03,18,17
1997-01-04,20,17
1997-01-05,19,15
1997-01-06,18,14
1997-01-07,19,14
1997-01-08,18,11
1997-01-09,16,11
1997-01-10,19,11
1997-01-11,20,12
1997-01-12,19,12
1997-01-13,19,15
1997-01-14,23,17
1997-01-15,21,17
1997-01-16,22,17
1997-01-17,21,18
1997-01-18,22,17
1997-01-19,21,17
1997-01-20,22,16
1997-01-21,23,18
1997-01-22,19,16
1997-01-23,19,13
1997-01-24,14,10
1997-01-25,13,10
1997-01-26,19,12
1997-01-27,20,13
1997-01-28,21,14
1997-01-29,22,14
1997-01-30,24,18
1997-01-31,26,17
